"","videoId","textDisplay","textOriginal","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","canRate","viewerRating","likeCount","publishedAt","updatedAt"
"22","4HKNdrBYS5k","bored song for fifa😢","bored song for fifa😢","Muhammed Anshad mt","https://yt3.ggpht.com/ytc/AMLnZu-tpOe08msHfEuakqVzKF--BzDe5-ZcVkJYP_Z48w=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCkSlebA9ahuriSQqEzi2QrQ","UCkSlebA9ahuriSQqEzi2QrQ","TRUE","none","0","2022-10-18T20:37:28Z","2022-10-18T20:37:28Z"
"23","4HKNdrBYS5k","عمل سيء لابعد حدد","عمل سيء لابعد حدد","nawaf alqadhi","https://yt3.ggpht.com/ytc/AMLnZu9EWf6KUfXSht_P37g0veVxVOWFDOn5vc6uEQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC6aqIk2pKzG9htvyS9Jh3wQ","UC6aqIk2pKzG9htvyS9Jh3wQ","TRUE","none","0","2022-10-18T20:36:30Z","2022-10-18T20:36:30Z"
"24","4HKNdrBYS5k","Is my best song 💕","Is my best song 💕","Nina Tchan","https://yt3.ggpht.com/Ja4XzOtJDwUnMzuNbsVU5YEezxMleEVAL49b6W0RmPyywdq2lIwY4fWwBvTIOXu0JrnxGHFPhQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC4ux0kOJjsAXtUZ78Y138Pw","UC4ux0kOJjsAXtUZ78Y138Pw","TRUE","none","0","2022-10-18T20:36:18Z","2022-10-18T20:36:18Z"
"25","4HKNdrBYS5k","Dfaq is this :)","Dfaq is this :)","Tamanna Gusain","https://yt3.ggpht.com/6Y0Pqp88ls5c2-NmQKbtiXfy8awwAxjkaZ-GVhCyuz-vnxA0HPM0wUuy0Mz2JHcbLJ_fOzV-=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC8Db56Sb-a6fBQ2DQMRAO2w","UC8Db56Sb-a6fBQ2DQMRAO2w","TRUE","none","1","2022-10-18T20:29:17Z","2022-10-18T20:29:17Z"
"26","4HKNdrBYS5k","انتم ماتستحون سارقين الحان اغنية شاكيرا","انتم ماتستحون سارقين الحان اغنية شاكيرا","امبراطورية M-PUBG","https://yt3.ggpht.com/ytc/AMLnZu-wWIQfT4m0JCqYzYxHK8b4N_tN0muY9WpK6iJ2dg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC-YMksxhBBzOLLy3F9i7TCg","UC-YMksxhBBzOLLy3F9i7TCg","TRUE","none","0","2022-10-18T20:24:29Z","2022-10-18T20:24:29Z"
"27","4HKNdrBYS5k","0% football  only glamour","0% football  only glamour","lucas","https://yt3.ggpht.com/ytc/AMLnZu9AWB6OUWqJiHGavtlFI9vw7kQNsaGyHBGP19r01uWW15jZ8m3p_zpFSS1-eOXN=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC_DldZYNlu0eoC2-7-3t3Dg","UC_DldZYNlu0eoC2-7-3t3Dg","TRUE","none","0","2022-10-18T20:17:46Z","2022-10-18T20:17:46Z"
"28","4HKNdrBYS5k","Not nora fatehi :)","Not nora fatehi :)","Christinbrett2","https://yt3.ggpht.com/ytc/AMLnZu-jPgpadlzIbcCS9UlCMu3lW0LfRt1Mx2dn5d0rVw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCSal9rHjP27ZMq_-ayXcsMw","UCSal9rHjP27ZMq_-ayXcsMw","TRUE","none","0","2022-10-18T20:17:38Z","2022-10-18T20:17:38Z"
"29","4HKNdrBYS5k","Sharika songs is the best.","Sharika songs is the best.","Md Shohid","https://yt3.ggpht.com/ytc/AMLnZu_G0rxinuGiPPNQLGBoV2iJavreFHy77-xBYrSp3LmyDdsfDbT_XNgMluzEcyL9=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UClNZiBcbzeZn_Qk2homfIYA","UClNZiBcbzeZn_Qk2homfIYA","TRUE","none","0","2022-10-18T20:14:25Z","2022-10-18T20:14:25Z"
"30","4HKNdrBYS5k","What in the dogshit is this?<br>A commercial to some fashion show in Paris?","What in the dogshit is this?
A commercial to some fashion show in Paris?","Prince Rahaman","https://yt3.ggpht.com/ytc/AMLnZu921e_a4CREAyRMgGfWSeurPnfmLzXIU4phh3tC4A=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCnoQ72wsa0eQGGWI7TczT6g","UCnoQ72wsa0eQGGWI7TczT6g","TRUE","none","0","2022-10-18T20:13:56Z","2022-10-18T20:13:56Z"
"31","4HKNdrBYS5k","شكد حلو يابه يابه بنص الاغنية","شكد حلو يابه يابه بنص الاغنية","لولي","https://yt3.ggpht.com/XxjCaqDe4r2n6KbVwRfV0ywmFKHQ3sR4EykmCDABpmCSQYa_sSVnJmEmt3j4-ng8NW_31__ooEg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCrl79ggZUu8iahlmmsl6lZw","UCrl79ggZUu8iahlmmsl6lZw","TRUE","none","0","2022-10-18T20:12:34Z","2022-10-18T20:12:34Z"
